VCT 2026 Stage 2 | AMER + PAC + EMEA + CN
Timezone: Australia/Sydney

2026-07-09 18:00 AEST | CN   | Wolves Esports vs Titan Esports Club | 2:0   | Completed | https://www.vlr.gg/701025/wolves-esports-vs-titan-esports-club-vct-2026-china-stage-2-w1
2026-07-09 20:20 AEST | CN   | Dragon Ranger Gaming vs Bilibili Gaming | 2:0   | Completed | https://www.vlr.gg/701026/dragon-ranger-gaming-vs-bilibili-gaming-vct-2026-china-stage-2-w1
2026-07-10 18:00 AEST | CN   | FunPlus Phoenix vs Trace Esports | 2:0   | Completed | https://www.vlr.gg/701027/funplus-phoenix-vs-trace-esports-vct-2026-china-stage-2-w1
2026-07-10 20:10 AEST | CN   | JD Gaming vs TYLOO | 0:2   | Completed | https://www.vlr.gg/701028/jdg-esports-vs-tyloo-vct-2026-china-stage-2-w1
2026-07-11 18:00 AEST | CN   | Dragon Ranger Gaming vs Titan Esports Club | 2:1   | Completed | https://www.vlr.gg/701029/dragon-ranger-gaming-vs-titan-esports-club-vct-2026-china-stage-2-w1
2026-07-11 21:35 AEST | CN   | Bilibili Gaming vs Wolves Esports | 2:1   | Completed | https://www.vlr.gg/701030/bilibili-gaming-vs-wolves-esports-vct-2026-china-stage-2-w1
2026-07-12 18:00 AEST | CN   | Nova Esports vs FunPlus Phoenix | 2:0   | Completed | https://www.vlr.gg/701031/nova-esports-vs-funplus-phoenix-vct-2026-china-stage-2-w1
2026-07-12 20:10 AEST | CN   | TYLOO vs Trace Esports | 2:0   | Completed | https://www.vlr.gg/701032/tyloo-vs-trace-esports-vct-2026-china-stage-2-w1
2026-07-14 19:00 AEST | CN   | Wolves Esports vs All Gamers | 0:2   | Completed | https://www.vlr.gg/701036/wolves-esports-vs-all-gamers-vct-2026-china-stage-2-w2
2026-07-14 21:15 AEST | CN   | Xi Lai Gaming vs Titan Esports Club | 1:2   | Completed | https://www.vlr.gg/701037/xi-lai-gaming-vs-titan-esports-club-vct-2026-china-stage-2-w2
2026-07-15 19:00 AEST | CN   | JD Gaming vs FunPlus Phoenix | 0:2   | Completed | https://www.vlr.gg/701038/jdg-esports-vs-funplus-phoenix-vct-2026-china-stage-2-w2
2026-07-15 21:20 AEST | CN   | EDward Gaming vs TYLOO | 1:2   | Completed | https://www.vlr.gg/701039/edward-gaming-vs-tyloo-vct-2026-china-stage-2-w2
2026-07-16 01:00 AEST | EMEA | FUT Esports vs Natus Vincere | 0:2   | Completed | https://www.vlr.gg/712803/fut-esports-vs-natus-vincere-vct-2026-emea-stage-2-w1
2026-07-16 03:10 AEST | EMEA | Team Liquid vs Eternal Fire | 0:2   | Completed | https://www.vlr.gg/712804/team-liquid-vs-eternal-fire-vct-2026-emea-stage-2-w1
2026-07-16 18:00 AEST | PAC  | Gen.G vs ZETA DIVISION | 2:0   | Completed | https://www.vlr.gg/698884/gen-g-vs-zeta-division-vct-2026-pacific-stage-2-w1
2026-07-16 19:00 AEST | CN   | All Gamers vs Bilibili Gaming | 1:2   | Completed | https://www.vlr.gg/701040/all-gamers-vs-bilibili-gaming-vct-2026-china-stage-2-w2
2026-07-16 21:05 AEST | PAC  | Team Secret vs VARREL | 1:2   | Completed | https://www.vlr.gg/698885/team-secret-vs-varrel-vct-2026-pacific-stage-2-w1
2026-07-16 22:25 AEST | CN   | Xi Lai Gaming vs Dragon Ranger Gaming | 2:0   | Completed | https://www.vlr.gg/701041/xi-lai-gaming-vs-dragon-ranger-gaming-vct-2026-china-stage-2-w2
2026-07-17 01:00 AEST | EMEA | FNATIC vs GIANTX | 2:0   | Completed | https://www.vlr.gg/712805/fnatic-vs-giantx-vct-2026-emea-stage-2-w1
2026-07-17 03:35 AEST | EMEA | PCIFIC Esports vs Gentle Mates | 1:2   | Completed | https://www.vlr.gg/712806/pcific-esports-vs-gentle-mates-vct-2026-emea-stage-2-w1
2026-07-17 07:00 AEST | AMER | LEVIATÁN vs FURIA | 2:1   | Completed | https://www.vlr.gg/706349/leviat-n-vs-furia-vct-2026-americas-stage-2-w1
2026-07-17 10:20 AEST | AMER | Sentinels vs Cloud9 | 2:1   | Completed | https://www.vlr.gg/706350/sentinels-vs-cloud9-vct-2026-americas-stage-2-w1
